n	n:1000	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
4541	512	83	93	38173	1003	19782	41293	75073	50535	147768	11.36e6	R64-k64/scerevisiae-1.fa
2292	289	42	45	86018	1012	40989	90020	155036	98839	230232	11.53e6	R64-k128/scerevisiae-1.fa
1636	254	32	34	113008	1005	62149	118374	200302	137403	451850	11.64e6	R64-k192/scerevisiae-1.fa
1365	239	28	29	133055	1004	73645	142678	244410	156796	451979	11.71e6	R64-k256/scerevisiae-1.fa
735	267	17	17	246323	1002	104785	246323	453764	264651	555725	11.97e6	R64-k512/scerevisiae-1.fa
351	351	14	13	318608	1024	116466	287195	502212	321227	666816	12.34e6	R64-k1024/scerevisiae-1.fa
296	169	18	19	193695	1042	86987	210933	404753	248818	695936	12.09e6	R64-depth1+/scerevisiae.bwa.fa
430	249	24	24	153199	1001	52681	153199	280752	198656	695935	12.06e6	R64-depth2+/scerevisiae.bwa.fa
95	95	10	9	585932	7893	193296	569173	746734	498481	902767	13.57e6	nanocorr/scerevisiae-polished.fa.gz
8957	370	65	72	51260	1026	26779	53278	107040	66271	210711	11.45e6	k192/scerevisiae-unitigs.fa
4598	1405	70	67	53858	1000	20574	53120	105127	64917	213914	12.54e6	k512/scerevisiae-unitigs.fa
5779	593	98	106	37561	1000	19114	38998	62758	43878	135006	11.58e6	k512-K96/scerevisiae-unitigs.fa
